count,correct,verified,unsafe,image_time,avg_verif_time,cum_verif_time,model,epsilon
100,98,93,0,0.158,0.202,19.79,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.005
100,98,83,0,0.151,0.21,20.617,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.01
100,98,76,0,0.165,0.225,22.058,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.015
100,98,66,0,0.171,0.242,23.76,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.02
100,98,47,0,0.162,0.281,27.501,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.025
100,98,29,0,0.195,0.33,32.348,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.03
100,98,20,0,0.175,0.333,32.598,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.035
100,98,7,0,0.278,0.349,34.244,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.04
100,98,3,0,0.261,0.398,39.001,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.045
100,98,1,0,0.304,0.386,37.806,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.05
100,98,1,0,0.291,0.373,36.544,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.055
100,98,1,0,4.7,0.491,48.074,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.06
100,98,0,0,0.325,0.414,40.617,DiffAI/out/MNIST/FFNN/ReLU/boxSpec/width_0.01/2022-05-02162709.348173/FFNN__Point___checkpoint_11_with_0.984.onnx,0.065
